state,tax_rate,start,end,standard_deduction
Alabama,0.02,0,1000,7500
Alabama,0.04,1000,6000,7500
Alabama,0.05,6000,1000000000000000,7500
,,,,
Alaska,0.00,0.00,0.00,0.00
,,,,
Arizona,0.0259,0,55615,25900
Arizona,0.0334,55615,111229,25900
Arizona,0.0417,111229,333684,25900
Arizona,0.05,333684,1000000000000000,25900
,,,,
Arkansas,0.02,0,4300,4400
Arkansas,0.04,4300,8500,4400
Arkansas,0.06,8500,1000000000000000,4400
,,,,
California,0.01,0,18650,9606
California,0.02,18650,44214,9606
California,0.04,44214,69784,9606
California,0.06,69784,96870,9606
California,0.08,96870,122428,9606
California,0.09,122428,625372,9606
California,0.10,625372,750442,9606
California,0.11,750442,1000000,9606
California,0.12,1000000,1250738,9606
California,0.13,1250738,1000000000000000,9606
,,,,
Colorado,0.0455,0,1000000000000000,25900
,,,,
Connecticut,0.03,0,20000,0
Connecticut,0.05,20000,100000,0
Connecticut,0.06,100000,200000,0
Connecticut,0.06,200000,400000,0
Connecticut,0.07,400000,500000,0
Connecticut,0.07,500000,1000000,0
Connecticut,0.0699,1000000,1000000000000000,0
,,,,
Delaware,0.02,2000,5000,6500
Delaware,0.04,5000,10000,6500
Delaware,0.05,10000,20000,6500
Delaware,0.05,20000,25000,6500
Delaware,0.0555,25000,60000,6500
Delaware,0.07,60000,1000000000000000,6500
,,,,
Florida,0.00,0,0,0
,,,,
Georgia,0.01,0,1000,7100
Georgia,0.02,1000,3000,7100
Georgia,0.03,3000,5000,7100
Georgia,0.04,5000,7000,7100
Georgia,0.05,7000,10000,7100
Georgia,0.0575,10000,1000000000000000,7100
,,,,
Hawaii,0.01,0,4800,4400
Hawaii,0.03,4800,9600,4400
Hawaii,0.06,9600,19200,4400
Hawaii,0.06,19200,28800,4400
Hawaii,0.07,28800,38400,4400
Hawaii,0.07,38400,48000,4400
Hawaii,0.08,48000,72000,4400
Hawaii,0.08,72000,96000,4400
Hawaii,0.0825,96000,300000,4400
Hawaii,0.09,300000,350000,4400
Hawaii,0.10,350000,400000,4400
Hawaii,0.11,400000,1000000000000000,4400
,,,,
Idaho,0.010,0,3176,25900
Idaho,0.030,3176,9526,25900
Idaho,0.045,9526,15878,25900
Idaho,0.060,15878,1000000000000000,25900
,,,,
Illinois,0.0495,0,1000000000000000,0
,,,,
Indiana,0.0323,0,1000000000000000,0
,,,,
,,,,
Iowa,0.0033,0,1743,5450
Iowa,0.0067,1743,3486,5450
Iowa,0.0225,3486,6972,5450
Iowa,0.0414,6972,15687,5450
Iowa,0.0563,15687,26145,5450
Iowa,0.0596,26145,34860,5450
Iowa,0.0625,34860,52290,5450
Iowa,0.0744,52290,78435,5450
Iowa,0.0853,78435,1000000000000000,5450
,,,,
Kansas,0.03,0,30000,8000
Kansas,0.0525,30000,60000,8000
Kansas,0.06,60000,1000000000000000,8000
,,,,
Kentucky,0.05,0,1000000000000000,5540
,,,,
,,,,
Louisiana,0.0185,0,25000,0
Louisiana,0.04,25000,100000,0
Louisiana,0.0425,100000,1000000000000000,0
,,,,
Maine,0.06,0,46000,25900
Maine,0.0675,46000,108900,25900
Maine,0.0715,108900,1000000000000000,25900
,,,,
Maryland,0.02,0,1000,4700
Maryland,0.03,1000,2000,4700
Maryland,0.04,2000,3000,4700
Maryland,0.0475,3000,150000,4700
Maryland,0.05,150000,175000,4700
Maryland,0.0525,175000,225000,4700
Maryland,0.06,225000,300000,4700
Maryland,0.0575,300000,1000000000000000,4700
,,,,
Massachusetts,0.05,0,1000000000000000,0
,,,,
Michigan,0.0425,0,1000000000000000,0
,,,,
Minnesota,0.0535,0,41050,25800
Minnesota,0.07,41050,163060,25800
Minnesota,0.0785,163060,284810,25800
Minnesota,0.0985,284810,1000000000000000,25800
,,,,
Mississippi,0.04,5000,10000,4600
Mississippi,0.05,10000,1000000000000000,4600
,,,,
Missouri,0.02,108,1088,25900
Missouri,0.02,1088,2176,25900
Missouri,0.03,2176,3264,25900
Missouri,0.03,3264,4352,25900
Missouri,0.04,4352,5440,25900
Missouri,0.04,5440,6528,25900
Missouri,0.05,6528,7616,25900
Missouri,0.05,7616,8704,25900
Missouri,0.05,8704,1000000000000000,25900
,,,,
Montana,0.01,0,3100,9660
Montana,0.02,3100,5500,9660
Montana,0.03,5500,8400,9660
Montana,0.04,8400,11400,9660
Montana,0.05,11400,14600,9660
Montana,0.06,14600,18800,9660
Montana,0.0675,18800,1000000000000000,9660
,,,,
Nebraska,0.0246,0,6860,14700
Nebraska,0.0351,6860,41190,14700
Nebraska,0.0501,41190,66360,14700
Nebraska,0.0684,66360,1000000000000000,14700
,,,,
Nevada,0,0,0,0
,,,,
New Hampshire,0,0,0,0
,,,,
New Jersey,0.014,0,20000,0
New Jersey,0.018,20000,50000,0
New Jersey,0.025,50000,70000,0
New Jersey,0.035,70000,80000,0
New Jersey,0.05525,80000,150000,0
New Jersey,0.064,150000,500000,0
New Jersey,0.090,500000,1000000,0
New Jersey,0.108,1000000,1000000000000000,0
,,,,
New Mexico,0.02,0,8000,25900
New Mexico,0.03,8000,16000,25900
New Mexico,0.05,16000,24000,25900
New Mexico,0.05,24000,315000,25900
New Mexico,0.06,315000,1000000000000000,25900
,,,,
New York,0.04,0,17150,16050
New York,0.05,17150,23600,16050
New York,0.0525,23600,27900,16050
New York,0.0585,27900,161550,16050
New York,0.0625,161550,323200,16050
New York,0.0685,323200,2155350,16050
New York,0.0965,2155350,5000000,16050
New York,0.10,5000000,25000000,16050
New York,0.11,25000000,1000000000000000,16050
,,,,
North Carolina,0.0499,0,1000000000000000,25500
,,,,
North Dakota,0.01,0,67700,25900
North Dakota,0.0204,67700,163550,25900
North Dakota,0.0227,163550,249150,25900
North Dakota,0.0264,249150,445000,25900
North Dakota,0.03,445000,1000000000000000,25900
,,,,
Ohio,0.02765,25000,44250,0
Ohio,0.03226,44250,88450,0
Ohio,0.03688,88450,110650,0
Ohio,0.040,110650,1000000000000000,0
,,,,
Oklahoma,0.0025,0,2000,12700
Oklahoma,0.0075,2000,5000,12700
Oklahoma,0.0175,5000,7500,12700
Oklahoma,0.0275,7500,9800,12700
Oklahoma,0.0375,9800,12200,12700
Oklahoma,0.0475,12200,1000000000000000,12700
,,,,
Oregon,0.0475,0,7300,4840
Oregon,0.0675,7300,18400,4840
Oregon,0.0875,18400,250000,4840
Oregon,0.10,250000,1000000000000000,4840
,,,,
Pennsylvania,0.0307,0,1000000000000000,0
,,,,
Rhode Island,0.0375,0,68200,18600
Rhode Island,0.0475,68200,155050,18600
Rhode Island,0.0599,155050,1000000000000000,18600
,,,,
South Carolina,0.00,0,3200,25900
South Carolina,0.03,3200,6410,25900
South Carolina,0.04,6410,9620,25900
South Carolina,0.05,9620,12820,25900
South Carolina,0.06,12820,16040,25900
South Carolina,0.07,16040,1000000000000000,25900
,,,,
South Dakota,0,0,0,0
,,,,
Tennessee,0,0,0,0
,,,,
Texas,0,0,0,0
,,,,
Utah,0.0495,0,1000000000000000,1554
,,,,
Vermont,0.0335,0,68400,12700
Vermont,0.07,68400,165350,12700
Vermont,0.08,165350,251950,12700
Vermont,0.0875,251950,1000000000000000,12700
,,,,
Virginia,0.02,0,3000,9000
Virginia,0.03,3000,5000,9000
Virginia,0.05,5000,17000,9000
Virginia,0.0575,17000,1000000000000000,9000
,,,,
Washington,0,0,0,0
,,,,
West Virginia,0.03,0,10000,0
West Virginia,0.04,10000,25000,0
West Virginia,0.05,25000,40000,0
West Virginia,0.06,40000,60000,0
West Virginia,0.07,60000,1000000000000000,0
,,,,
Wisconsin,0.0354,0,17010,21820
Wisconsin,0.0465,17010,34030,21820
Wisconsin,0.05,34030,374600,21820
Wisconsin,0.0765,374600,1000000000000000,21820
,,,,
Wyoming,0,0,0,0
,,,,
District of Columbia,0.04,0,10000,25900
District of Columbia,0.06,10000,40000,25900
District of Columbia,0.07,40000,60000,25900
District of Columbia,0.09,60000,250000,25900
District of Columbia,0.0925,250000,500000,25900
District of Columbia,0.0975,500000,1000000,25900
District of Columbia,0.1075,1000000,1000000000000000,25900