filing_status,tax_rate,start,end,standard_deduction
Single,0.10,0,10275,12950
Single,0.12,10275,41775,12950
Single,0.22,41775,89075,12950
Single,0.24,89075,170050,12950
Single,0.32,170050,215950,12950
Single,0.35,215950,539900,12950
Single,0.37,539900,1000000000000000,12950
Married,0.10,0,20550,25900
Married,0.12,20550,83550,25900
Married,0.22,83550,178150,25900
Married,0.24,178150,340100,25900
Married,0.32,340100,431900,25900
Married,0.35,431900,647850,25900
Married,0.37,647850,1000000000000000,25900